date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
12:33:12	1653/1653	---MCZ	200	added ('OK')	text/html	date:Wed,%2008%20Jul%202020%2013:47:04%20GMT	https://colorlib.com/polygon/gentelella/page_500.html	C:/My%20Web%20Sites/homepage/gentellaadvancedforms/colorlib.com/polygon/gentelella/page_500.html	(from https://colorlib.com/polygon/gentelella/form_advanced.html)
12:33:12	10060/10060	---MCZ	200	added ('OK')	text/html	date:Wed,%2008%20Jul%202020%2013:47:04%20GMT	https://colorlib.com/polygon/gentelella/plain_page.html	C:/My%20Web%20Sites/homepage/gentellaadvancedforms/colorlib.com/polygon/gentelella/plain_page.html	(from https://colorlib.com/polygon/gentelella/form_advanced.html)
12:33:12	2482/2482	---MCZ	200	added ('OK')	text/html	date:Wed,%2008%20Jul%202020%2013:47:02%20GMT	https://colorlib.com/polygon/gentelella/login.html	C:/My%20Web%20Sites/homepage/gentellaadvancedforms/colorlib.com/polygon/gentelella/login.html	(from https://colorlib.com/polygon/gentelella/form_advanced.html)
12:33:13	14721/14721	---MCZ	200	added ('OK')	text/html	date:Wed,%2008%20Jul%202020%2013:47:05%20GMT	https://colorlib.com/polygon/gentelella/pricing_tables.html	C:/My%20Web%20Sites/homepage/gentellaadvancedforms/colorlib.com/polygon/gentelella/pricing_tables.html	(from https://colorlib.com/polygon/gentelella/form_advanced.html)
12:33:13	9001/9001	---MCZ	200	added ('OK')	text/html	date:Wed,%2008%20Jul%202020%2013:47:02%20GMT	https://colorlib.com/polygon/gentelella/level2.html	C:/My%20Web%20Sites/homepage/gentellaadvancedforms/colorlib.com/polygon/gentelella/level2.html	(from https://colorlib.com/polygon/gentelella/form_advanced.html)
12:33:13	152244/152244	---M--	200	added ('OK')	image/jpeg	etag:%225f05ce5d-266ac%22	https://colorlib.com/polygon/gentelella/images/cropper.jpg	C:/My%20Web%20Sites/homepage/gentellaadvancedforms/colorlib.com/polygon/gentelella/images/cropper.jpg	(from https://colorlib.com/polygon/gentelella/form_advanced.html)
12:33:14	139/139	---MCZ	404	error ('Not%20Found')	text/html	date:Mon,%2001%20Feb%202021%2016:33:14%20GMT	https://colorlib.com/polygon/gentelella/cropped.png	C:/My%20Web%20Sites/homepage/gentellaadvancedforms/colorlib.com/polygon/gentelella/cropped.png	(from https://colorlib.com/polygon/gentelella/form_advanced.html)
12:33:14	85578/85578	---MCZ	200	added ('OK')	application/javascript	etag:W/%225f0821d1-14e4a%22	https://colorlib.com/polygon/vendors/jquery/dist/jquery.min.js	C:/My%20Web%20Sites/homepage/gentellaadvancedforms/colorlib.com/polygon/vendors/jquery/dist/jquery.min.js	(from https://colorlib.com/polygon/gentelella/form_advanced.html)
12:33:14	78635/78635	---MCZ	200	added ('OK')	application/javascript	etag:W/%225f080c5b-1332b%22	https://colorlib.com/polygon/vendors/bootstrap/dist/js/bootstrap.bundle.min.js	C:/My%20Web%20Sites/homepage/gentellaadvancedforms/colorlib.com/polygon/vendors/bootstrap/dist/js/bootstrap.bundle.min.js	(from https://colorlib.com/polygon/gentelella/form_advanced.html)
12:33:14	11171/11171	---MCZ	200	added ('OK')	application/javascript	etag:W/%225f081051-656d%22	https://colorlib.com/polygon/vendors/fastclick/lib/fastclick.js	C:/My%20Web%20Sites/homepage/gentellaadvancedforms/colorlib.com/polygon/vendors/fastclick/lib/fastclick.js	(from https://colorlib.com/polygon/gentelella/form_advanced.html)
12:33:15	6333/6333	---MCZ	200	added ('OK')	application/javascript	etag:W/%225f082354-2d2d%22	https://colorlib.com/polygon/vendors/nprogress/nprogress.js	C:/My%20Web%20Sites/homepage/gentellaadvancedforms/colorlib.com/polygon/vendors/nprogress/nprogress.js	(from https://colorlib.com/polygon/gentelella/form_advanced.html)
12:33:15	46645/46645	---MCZ	200	added ('OK')	application/javascript	etag:W/%225f0822eb-b635%22	https://colorlib.com/polygon/vendors/moment/min/moment.min.js	C:/My%20Web%20Sites/homepage/gentellaadvancedforms/colorlib.com/polygon/vendors/moment/min/moment.min.js	(from https://colorlib.com/polygon/gentelella/form_advanced.html)
12:33:15	37803/37803	---MCZ	200	added ('OK')	application/javascript	etag:W/%225f080d19-f9a2%22	https://colorlib.com/polygon/vendors/bootstrap-daterangepicker/daterangepicker.js	C:/My%20Web%20Sites/homepage/gentellaadvancedforms/colorlib.com/polygon/vendors/bootstrap-daterangepicker/daterangepicker.js	(from https://colorlib.com/polygon/gentelella/form_advanced.html)
